国别,过敏原,食品举例,法规依据
CAC(8种),含有麸质的谷类食品,小麦,《预包装食品标签通则》
CAC(8种),含有麸质的谷类食品,黑麦,《预包装食品标签通则》
CAC(8种),含有麸质的谷类食品,大麦,《预包装食品标签通则》
CAC(8种),含有麸质的谷类食品,燕麦,《预包装食品标签通则》
CAC(8种),甲壳类动物及其产品,蟹,《预包装食品标签通则》
CAC(8种),甲壳类动物及其产品,虾,《预包装食品标签通则》
CAC(8种),蛋及蛋类产品,鸡蛋,《预包装食品标签通则》
CAC(8种),鱼及鱼类产品,鲭鱼,《预包装食品标签通则》
CAC(8种),鱼及鱼类产品,鳕鱼,《预包装食品标签通则》
CAC(8种),花生、大豆及其产品,花生,《预包装食品标签通则》
CAC(8种),乳及其产品(包括乳糖),大豆,《预包装食品标签通则》
CAC(8种),树生坚果及其产品,杏仁,《预包装食品标签通则》
CAC(8种),树生坚果及其产品,腰果,《预包装食品标签通则》
CAC(8种),树生坚果及其产品,核桃,《预包装食品标签通则》
CAC(8种),浓度大于10mg/kg的亚硫酸盐,/,《预包装食品标签通则》
欧盟(14种),含有麸质的谷类食品,小麦,《欧盟食品标签法规》
欧盟(14种),含有麸质的谷类食品,黑麦,《欧盟食品标签法规》
欧盟(14种),含有麸质的谷类食品,大麦,《欧盟食品标签法规》
欧盟(14种),含有麸质的谷类食品,燕麦,《欧盟食品标签法规》
欧盟(14种),含有麸质的谷类食品,玉米,《欧盟食品标签法规》
欧盟(14种),甲壳类动物及其产品,蟹,《欧盟食品标签法规》
欧盟(14种),甲壳类动物及其产品,虾,《欧盟食品标签法规》
欧盟(14种),蛋及蛋类产品,鸡蛋,《欧盟食品标签法规》
欧盟(14种),鱼及鱼类产品,鲭鱼,《欧盟食品标签法规》
欧盟(14种),鱼及鱼类产品,鳕鱼,《欧盟食品标签法规》
欧盟(14种),花生及其产品,花生,《欧盟食品标签法规》
欧盟(14种),大豆及其产品,大豆,《欧盟食品标签法规》
欧盟(14种),乳及其产品(包括乳糖),牛奶,《欧盟食品标签法规》
欧盟(14种),乳及其产品(包括乳糖),乳制品,《欧盟食品标签法规》
欧盟(14种),坚果及其产品,杏仁,《欧盟食品标签法规》
欧盟(14种),坚果及其产品,榛子,《欧盟食品标签法规》
欧盟(14种),坚果及其产品,核桃,《欧盟食品标签法规》
欧盟(14种),芹菜及其产品,芹菜,《欧盟食品标签法规》
欧盟(14种),芥末及其产品,芥末,《欧盟食品标签法规》
欧盟(14种),芝麻及其产品,芝麻,《欧盟食品标签法规》
欧盟(14种),二氧化硫和亚硫酸盐,/,《欧盟食品标签法规》
欧盟(14种),羽扇豆及其产品,羽扇豆,《欧盟食品标签法规》
欧盟(14种),软体动物及其产品,贝类,《欧盟食品标签法规》
欧盟(14种),软体动物及其产品,章鱼,《欧盟食品标签法规》
欧盟(14种),软体动物及其产品,鱿鱼,《欧盟食品标签法规》